task,step,saliency,rho,auc_harmful,n_harmful,harmful_rate,baseline_test_loss,baseline_test_acc
sst2,1000,S1_mag,0.15440448417112013,,60,0.3125,0.19881970729302922,0.9277522935779816
sst2,1000,S2_fo_tr,0.28410092775954215,,60,0.3125,0.19881970729302922,0.9277522935779816
sst2,1000,S3_fo_val,0.347443574858259,0.2502525252525253,60,0.3125,0.19881970729302922,0.9277522935779816
sst2,1000,S4_fisher_tr,0.3848743998046822,,60,0.3125,0.19881970729302922,0.9277522935779816
sst2,1000,S5_fisher_val,0.30076058649594445,,60,0.3125,0.19881970729302922,0.9277522935779816
sst2,2000,S1_mag,0.0001458101619510078,,125,0.6510416666666666,0.20072085239471646,0.9311926605504587
sst2,2000,S2_fo_tr,-0.288678688658004,,125,0.6510416666666666,0.20072085239471646,0.9311926605504587
sst2,2000,S3_fo_val,-0.21205375308574995,0.7714626865671642,125,0.6510416666666666,0.20072085239471646,0.9311926605504587
sst2,2000,S4_fisher_tr,-0.45560758755391595,,125,0.6510416666666666,0.20072085239471646,0.9311926605504587
sst2,2000,S5_fisher_val,-0.40155440414507776,,125,0.6510416666666666,0.20072085239471646,0.9311926605504587
sst2,3000,S1_mag,-0.07350697176030166,,138,0.71875,0.19663522549725454,0.9311926605504587
sst2,3000,S2_fo_tr,-0.26619849171255733,,138,0.71875,0.19663522549725454,0.9311926605504587
sst2,3000,S3_fo_val,-0.2459681794753547,0.5900429414922168,138,0.71875,0.19663522549725454,0.9311926605504587
sst2,3000,S4_fisher_tr,-0.46202153921276085,,138,0.71875,0.19663522549725454,0.9311926605504587
sst2,3000,S5_fisher_val,-0.48240952988091046,,138,0.71875,0.19663522549725454,0.9311926605504587
sst2,4000,S1_mag,-0.016532498711445083,,124,0.6458333333333334,0.19874695763675446,0.9323394495412844
sst2,4000,S2_fo_tr,-0.1682021946124841,,124,0.6458333333333334,0.19874695763675446,0.9323394495412844
sst2,4000,S3_fo_val,-0.11704995523967122,0.6686432637571157,124,0.6458333333333334,0.19874695763675446,0.9323394495412844
sst2,4000,S4_fisher_tr,-0.30529765618642,,124,0.6458333333333334,0.19874695763675446,0.9323394495412844
sst2,4000,S5_fisher_val,-0.2633857119605024,,124,0.6458333333333334,0.19874695763675446,0.9323394495412844
sst2,5000,S1_mag,-0.033329490274801296,,134,0.6979166666666666,0.20240446733772208,0.9311926605504587
sst2,5000,S2_fo_tr,-0.3877092206277297,,134,0.6979166666666666,0.20240446733772208,0.9311926605504587
sst2,5000,S3_fo_val,-0.2842992973984755,0.5865928975810604,134,0.6979166666666666,0.20240446733772208,0.9311926605504587
sst2,5000,S4_fisher_tr,-0.46753180696090935,,134,0.6979166666666666,0.20240446733772208,0.9311926605504587
sst2,5000,S5_fisher_val,-0.48643287307055855,,134,0.6979166666666666,0.20240446733772208,0.9311926605504587
mrpc,400,S1_mag,0.006476683937823835,,108,0.5625,0.327699676156044,0.8651960784313726
mrpc,400,S2_fo_tr,-0.36009854054200696,,108,0.5625,0.327699676156044,0.8651960784313726
mrpc,400,S3_fo_val,-0.4658973767734585,0.2009479717813051,108,0.5625,0.327699676156044,0.8651960784313726
mrpc,400,S4_fisher_tr,-0.27355681849008495,,108,0.5625,0.327699676156044,0.8651960784313726
mrpc,400,S5_fisher_val,-0.24858598052247516,,108,0.5625,0.327699676156044,0.8651960784313726
mrpc,800,S1_mag,-0.08716395844071292,,112,0.5833333333333334,0.3174036478295046,0.8725490196078431
mrpc,800,S2_fo_tr,0.0680797818951252,,112,0.5833333333333334,0.3174036478295046,0.8725490196078431
mrpc,800,S3_fo_val,-0.40928064726148183,0.12712053571428572,112,0.5833333333333334,0.3174036478295046,0.8725490196078431
mrpc,800,S4_fisher_tr,-0.15541837343677944,,112,0.5833333333333334,0.3174036478295046,0.8725490196078431
mrpc,800,S5_fisher_val,-0.15033027697148907,,112,0.5833333333333334,0.3174036478295046,0.8725490196078431
mrpc,1200,S1_mag,-0.08616024197705016,,136,0.7083333333333334,0.32198448932053997,0.8823529411764706
mrpc,1200,S2_fo_tr,-0.03443493475842987,,136,0.7083333333333334,0.32198448932053997,0.8823529411764706
mrpc,1200,S3_fo_val,-0.61681598079375,0.15559348739495796,136,0.7083333333333334,0.32198448932053997,0.8823529411764706
mrpc,1200,S4_fisher_tr,-0.21269124867753578,,136,0.7083333333333334,0.32198448932053997,0.8823529411764706
mrpc,1200,S5_fisher_val,-0.3734299975585275,,136,0.7083333333333334,0.32198448932053997,0.8823529411764706
mrpc,1600,S1_mag,-0.2658322708406804,,145,0.7552083333333334,0.3729771361047146,0.8578431372549019
mrpc,1600,S2_fo_tr,-0.21711302661205006,,145,0.7552083333333334,0.3729771361047146,0.8578431372549019
mrpc,1600,S3_fo_val,-0.7830785611588857,0.1677182685253118,145,0.7552083333333334,0.3729771361047146,0.8578431372549019
mrpc,1600,S4_fisher_tr,-0.3415891273092261,,145,0.7552083333333334,0.3729771361047146,0.8578431372549019
mrpc,1600,S5_fisher_val,-0.47775377750047476,,145,0.7552083333333334,0.3729771361047146,0.8578431372549019
mrpc,2000,S1_mag,-0.1124755852752082,,139,0.7239583333333334,0.44994108196274907,0.875
mrpc,2000,S2_fo_tr,0.08463432167756287,,139,0.7239583333333334,0.44994108196274907,0.875
mrpc,2000,S3_fo_val,-0.5595905786289777,0.22437898737613685,139,0.7239583333333334,0.44994108196274907,0.875
mrpc,2000,S4_fisher_tr,-0.22241983832026696,,139,0.7239583333333334,0.44994108196274907,0.875
mrpc,2000,S5_fisher_val,-0.26715812603423494,,139,0.7239583333333334,0.44994108196274907,0.875
rte,400,S1_mag,-0.1480057917152701,,153,0.796875,0.6297781435160861,0.7075812274368231
rte,400,S2_fo_tr,-0.6562203293275101,,153,0.796875,0.6297781435160861,0.7075812274368231
rte,400,S3_fo_val,-0.7812169383935113,0.15619239148650915,153,0.796875,0.6297781435160861,0.7075812274368231
rte,400,S4_fisher_tr,-0.536074451346879,,153,0.796875,0.6297781435160861,0.7075812274368231
rte,400,S5_fisher_val,-0.6223279440088979,,153,0.796875,0.6297781435160861,0.7075812274368231
rte,800,S1_mag,0.14524896237419638,,166,0.8645833333333334,0.7620992691723448,0.7364620938628159
rte,800,S2_fo_tr,-0.4221373735181619,,166,0.8645833333333334,0.7620992691723448,0.7364620938628159
rte,800,S3_fo_val,-0.670151981661829,0.1603336422613531,166,0.8645833333333334,0.7620992691723448,0.7364620938628159
rte,800,S4_fisher_tr,-0.4968854271220466,,166,0.8645833333333334,0.7620992691723448,0.7364620938628159
rte,800,S5_fisher_val,-0.5572796571087542,,166,0.8645833333333334,0.7620992691723448,0.7364620938628159
rte,1200,S1_mag,0.25431665898054967,,134,0.6979166666666666,0.7827027128061232,0.7581227436823105
rte,1200,S2_fo_tr,0.0004798171608387815,,134,0.6979166666666666,0.7827027128061232,0.7581227436823105
rte,1200,S3_fo_val,-0.5599517130998563,0.21204323211528567,134,0.6979166666666666,0.7827027128061232,0.7581227436823105
rte,1200,S4_fisher_tr,-0.26351626291945857,,134,0.6979166666666666,0.7827027128061232,0.7581227436823105
rte,1200,S5_fisher_val,-0.3393104196619917,,134,0.6979166666666666,0.7827027128061232,0.7581227436823105
rte,1600,S1_mag,0.191357187423704,,150,0.78125,1.0630494599307918,0.7509025270758123
rte,1600,S2_fo_tr,-0.23356583837452188,,150,0.78125,1.0630494599307918,0.7509025270758123
rte,1600,S3_fo_val,-0.6876152917559614,0.20857142857142857,150,0.78125,1.0630494599307918,0.7509025270758123
rte,1600,S4_fisher_tr,-0.26153256653012513,,150,0.78125,1.0630494599307918,0.7509025270758123
rte,1600,S5_fisher_val,-0.4258707918509075,,150,0.78125,1.0630494599307918,0.7509025270758123
rte,2000,S1_mag,0.20155881235927625,,145,0.7552083333333334,1.1091017817762354,0.7581227436823105
rte,2000,S2_fo_tr,-0.16491468410058868,,145,0.7552083333333334,1.1091017817762354,0.7581227436823105
rte,2000,S3_fo_val,-0.5934863548815887,0.24108584005869405,145,0.7552083333333334,1.1091017817762354,0.7581227436823105
rte,2000,S4_fisher_tr,-0.23989840761739417,,145,0.7552083333333334,1.1091017817762354,0.7581227436823105
rte,2000,S5_fisher_val,-0.3692761034099233,,145,0.7552083333333334,1.1091017817762354,0.7581227436823105
